event_id,category_id,name_eng,name_esp,des_eng,des_esp
0,0,NO EVENT,SIN EVENTO,,
1,2,PASS,PASE,"Any pass attempted from one player to another - free kicks, corners, throw-ins, goal kicks and goal assists",
2,2,OFFSIDE PASS,PASE EN FUERA DE JUEGO,Attempted pass made to a player who is in an offside position,
3,5,TAKEON,REGATE,Attempted dribble past an opponent (excluding when qualifier 211 is present as this is overrun and is not always a duel event),
4,4,FOUL,FALTA,This event ID shown when a foul is committed resulting in a free kick,
5,2,OUT,FUERA,Shown each time the ball goes out of play for a throw-in or goal kick,
6,5,CORNER AWARDED,CORNER FORZADO,Ball goes out of play for a corner kick,
7,4,TACKLE,TACKLE,"Tackle = dispossesses an opponent of the ball - Outcome 1 = win & retain possession or out of play, 0 = win tackle but not possession",
8,4,INTERCEPTION,INTERCEPCIÓN,When a player intercepts any pass event between opposition players and prevents the ball reaching its target. Cannot be a clearance.,
9,4,TURNOVER,CAMBIO DE POSESIÓN,Unforced error / loss of possession - i.e. bad control of ball – Replaced with Unsuccessful Touch + Overrun in recent seasons,
10,3,SAVE,PARADA,Goalkeeper event; saving a shot on goal. Can also be an outfield player event with qualifier 94 for blocked shot.,
11,3,CLAIM,,Goalkeeper event; catching a crossed ball,
12,4,CLEARANCE,DESPEJE,Player under pressure hits ball clear of the defensive zone or/and out of play,
13,5,MISSED SHOT,TIRO FALLADO,Any shot on goal which goes wide or over the goal,
14,5,SHOT ON POST,TIRO AL POSTE,Whenever the ball hits the frame of the goal,
15,5,SAVED SHOT,TIRO PARADO,Shot saved - this event is for the player who made the shot. Qualifier 82 can be added for blocked shot.,
16,5,GOAL,GOL,All goals,
17,2,CARD,TARJETA,"Bookings - will have red, yellow or 2nd yellow qualifier plus a reason",
18,1,SUBSTITUTION OFF,SUSTITUCIÓN SALE,Player is substituted off,
19,1,SUBSTITUTION ON,SUSTITUCIÓN ENTRA,Player comes on as a substitute,
20,1,PLAYER RETIRED,JUGADOR RETIRADO,Player is forced to leave the pitch due to injury and the team have no substitutions left,
21,1,PLAYER RETURNS,JUGADOR VUELVE,Player comes back on the pitch,
22,2,PLAYER BECOMES GOALKEEPER,JUGADOR COMO PORTERO,When an outfield player has to replace the goalkeeper,
23,2,GOALKEEPER BECOMES PLAYER,PORTERO COMO JUGADOR,Goalkeeper becomes an outfield player,
24,1,CONDITION CHANGE,CAMBIO CONDICIONADO,Change in playing conditions,
25,1,OFFICIAL CHANGE,CAMBIO OFICIAL,Referee or linesman is replaced,
27,1,START DELAY,RETRASO COMIENZO,Used when there is a stoppage in play such as a player injury,
28,1,END DELAY,RETRASO FINAL,Used when the stoppage ends and play resumes,
30,1,END,FINAL,End of a match period,
32,1,START,COMIENZO,Start of a match period,
34,1,TEAM SETUP,,"Team line up - qualifiers 30, 44, 59, 130, 131 will show player line up and formation",
35,2,PLAYER CHANGED POSITION,JUGADOR CAMBIO DE POSICIÓN,Player moved to a different position but the team formation remained the same,
36,1,PLAYER CHANGED JERSEY NUMBER,JUGADOR CAMBIO DE NÚMERO,"Player is forced to change jersey number, qualifier will show the new number",
37,1,COLLECTION END,FINAL RECOLECCIÓN,Event 30 signals end of half. This signals end of the match and thus data collection.,
38,5,TEMP GOAL,GOL TEMPORAL,Goal has occurred but it is pending additional detail qualifiers from Opta. Will change to event 16.,
39,5,TEMP ATTEMP,OCASIÓN TEMPORAL,Shot on goal has occurred but is pending additional detail qualifiers from Opta. Will change to event 15.,
40,2,FORMATION CHANGE,CAMBIO DE ALINEACIÓN,Team alters its formation,
41,3,PUNCH,,Goalkeeper event; ball is punched clear,
42,5,GOOD SKILL,,A player shows a good piece of skill on the ball – such as a step over or turn on the ball,
43,1,DELETED EVENT,EVENTO BORRADO,Event has been deleted – the event will remain as it was originally with the same ID but will be resent with the type altered to 43.,
44,4,AERIAL,DUELO AÉREO,Aerial duel – 50/50 when the ball is in the air – outcome will represent whether the duel was won or lost,
45,4,CHALLENGE,,When a player fails to win the ball as an opponent successfully dribbles past them,
47,1,RESCINDED CARD,TARJETA ANULADA,This can occur post match if the referee rescinds a card he has awarded,
49,4,BALL RECOVERY,RECUPERACIÓN DE BALÓN,When a player takes possession of a loose ball,
50,4,DISPOSSESSED,FUE ROBADO,Player is successfully tackled and loses possession of the ball,
51,1,ERROR,ERROR,Mistake by player losing the ball. Leads to a shot or goals as described with qualifier 169 or 170,
52,3,KEEPER PICKUP,,Goalkeeper event; picks up the ball,
53,3,CROSS NOT CLAIMED,,Goalkeeper event; cross not successfully caught,
54,3,SMOTHER,,Goalkeeper event; comes out and covers the ball in the box winning possession,
55,4,OFFSIDE PROVOKED,FUERA DE JUEGO PROVOCADO,Awarded to last defender when an offside decision is given against an attacker,
56,4,SHIELD BALL OPP,PROTECCIÓN DEL BALÓN,Defender uses his body to shield the ball from an opponent as it rolls out of play,
57,2,FOUL THROW IN,FALTA DE SAQUE,A throw-in not taken correctly resulting in the throw being awarded to the opposing team,
58,3,PENALTY FACED,PENALTI RECIBIDO,Goalkeeper event; penalty by opposition,
59,3,KEEPER SWEEPER,,When keeper comes off his line and/or out of his box to clear the ball,
60,5,CHANCE MISSED,OCASIÓN FALLADA,Used when a player does not actually make a shot on goal but was in a good position to score and only just missed receiving a pass,
61,5,BALL TOUCH,TOQUE DE BALÓN,Used when a player makes a bad touch on the ball and loses possession. Outcome 1 – ball simply hit the player unintentionally. Outcome 0 – Player unsuccessfully controlled the ball.,
63,3,TEMP SAVE,PARADA TEMPORAL,An event indicating a save has occurred but without full details. Event 10 will follow shortly afterwards with full details.,
64,1,RESUME,CONTINUAR,Match resumes on a new date after being abandoned mid game,
65,1,CONTENTIOUS REFEREE DECISION,,Any major talking point or error made by the referee – decision will be assigned to the relevant team,
66,1,POSSESSION DATA,DATO DE POSESIÓN,Possession event will appear every 5 mins **No longer recorded in the feed**,
67,1,FIFTY FIFTY,DUELO,2 players running for a loose ball - GERMAN ONLY. Outcome 1 or 0. | No longer collected as of June 2017,
68,1,REFEREE DROP BALL,BOTE NEUTRAL,Delay - ref stops - this to event given to both teams on restart. No Outcome,
69,4,FAILED TO BLOCK,FALLO AL BLOQUEAR,Attempt to block a shot or pass - challenge lost. Put Through (qualifiers 266) is the winning duel event. | Collected for DFL competitions only between 2013/14 and 2016/17,
70,1,INJURY TIME ANNOUNCEMENT,,Injury Time awarded by Referee,
71,1,COACH SETUP,,"Coach Type; 1,2,18,30,32,54,57,58,59",
72,5,CAUGHT OFFSIDE,,New event to just show player who is offside instead of offside pass event,
73,2,OTHER BALL CONTACT,OTRO CONTACTO CON EL BALÓN,"This is an automated extra event for DFL. It comes with a tackle or an interception and indicates if the player who made the tackle/interception retained the ball after this action or if the tackle/interception was a single ball touch  (other ball contact with type “interception”, type “Defensive Clearance” or type “ TackleRetainedBall”).",
74,4,BLOCKED PASS,PASE BLOQUEADO,Similar to interception but player already very close to ball,
75,1,DELAYED START,RETRASO COMIENZO,Match start delayed,
76,1,EARLY END,ANTICIPO FINAL,The match has had an early end,
77,1,PLAYER OFF PITCH,JUGADOR FUERA DEL CAMPO,Event indicating that a player is now off the pitch,
79,1,COVERAGE INTERUPTION,INTERRUPCIÓN DE COBERTURA,"Used to identify when our analysis of a game has been interupted. outcome 0 = start of interruption, outcome 1 = end of interruption",
101,2,LONG BALL,PASE LARGO,,
102,2,CROSS,CENTRO,,
103,2,KEY PASS,PASE CLAVE,,
104,2,THROUGHBALL,PASE AL HUECO,,
105,2,PASS INTO OPP BOX,PASE AL AREA RIVAL,,
106,2,PASS OPP HALF,PASE EN CAMPO RIVAL,,
107,2,PASS OWN HALF,PASE EN CAMPO PROPIO,,
121,2,YELLOW CARD,TARJETA AMARILLA,,
123,2,RED CARD,TARJETA ROJA,,
124,2,GOAL KICK,SAQUE DE PUERTA,,
125,4,TACKLE WITH POSSESSION,TACKLE CON POSESIÓN,,
126,4,TACKLE WITHOUT POSSESSION,TACKLE SIN POSESIÓN,,